experience_name,experience_description,experience_venue_location,experience_instructors,experience_competition_division,experience_start_date,experience_start_time,experience_end_time,experience_type,experience_event,experience_external_linking_id,experience_requires_additional_puchase,experience_valid_user_tiers
Mastering Coat Preparation for Effortless Grooming,,Freemont,Jennie Smith,,07/16/2026,10:00 AM,12:00 PM,class,RMGX 2026,100,FALSE,
Pet CPR Certification,,Carson,Malinda Malone,,07/16/2026,10:00 AM,4:00 PM,certification,RMGX 2026,101,FALSE,
Hair & Skin 101 *Certificate,,Learning Center,Dr. Cliff Faver,,07/16/2026,10:00 AM,2:00 PM,certification,RMGX 2026,102,FALSE,
Addressing Your Issues + Optional Hands On,,Freemont,Jennie Smith,,07/16/2026,1:00 PM,4:00 PM,seminar,RMGX 2026,103,FALSE,
Advanced Hair & Skin *Certificate,,Learning Center,Dr. Cliff Faver,,07/16/2026,3:00 PM,7:00 PM,certification,RMGX 2026,104,FALSE,
Teddy Bear Asian Fusion + Optional Hands-On,,Freemont,Helen Schaefer,,07/16/2026,4:30 PM,7:00 PM,seminar,RMGX 2026,105,FALSE,
Cover Your Booty - Safety First for Groomers & Business Owners,,Carson,Denise Heroux,,07/16/2026,4:30 PM,5:30 PM,class,RMGX 2026,106,FALSE,
Professional Under Pressure: Navigating Client Conflict Without Fear,,Carson,Denise Heroux,,07/16/2026,6:00 PM,7:00 PM,class,RMGX 2026,107,FALSE,
Handstripping Demo Preview,,Freemont,Amy Lynn Remy,,07/16/2026,7:30 PM,9:00 PM,class,RMGX 2026,108,FALSE,
Corrective Grooming,,Carson,Christine Trovato,,07/16/2026,7:30 PM,9:00 PM,class,RMGX 2026,109,FALSE,
Equipment Maintenance,,Learning Center,Mindy Dinwiddie,,07/16/2026,7:30 PM,t,class,RMGX 2026,110,FALSE,
Trade Show Opens,,Expo Hall,,,07/16/2026,10:00 AM,4:00 PM,trade show / vendor hall,RMGX 2026,111,FALSE,
Masterclass with Mindy: Demonstration + Optional Hands On,,Freemont,Mindy Dinwiddie,,07/17/2026,8:00 AM,10:30 AM,seminar,RMGX 2026,112,FALSE,
Mastering the Grind: Surviving the Mental Toll of Business Ownership,,Carson,Denise Heroux,,07/17/2026,8:00 AM,10:00 AM,class,RMGX 2026,113,FALSE,
Salon Safety *Certificate,,Learning Center,Linda Easton,,07/17/2026,8:00 AM,12:00 PM,certification,RMGX 2026,114,FALSE,
Who's The Boss Around Here?,,Carson,Denise Heroux,,07/17/2026,10:30 AM,11:30 AM,class,RMGX 2026,115,FALSE,
"5 Steps to Shape, Style & Symmetry in Every Groom",,Learning Center,Linda Easton,,07/17/2026,1:30 PM,3:00 PM,class,RMGX 2026,116,FALSE,
Don't Poodle My Doodle + Optional Hands On,,Freemont,Melissa Jepson,,07/17/2026,2:00 PM,4:30 PM,seminar,RMGX 2026,117,FALSE,
The Many Faces of JRG,,Carson,Jess Rona,,07/17/2026,2:00 PM,3:30 PM,class,RMGX 2026,118,FALSE,
Ouch That Hurts,,Learning Center,MIchelle Price,,07/17/2026,3:30 PM,6:00 PM,class,RMGX 2026,119,FALSE,
Recognizing Potential Medical Issues With Pets,,Carson,Malinda Malone,,07/17/2026,4:00 PM,6:00 PM,class,RMGX 2026,120,FALSE,
Rekindling Your Passion for Grooming,,Freemont,Chris Anthony,,07/17/2026,5:00 PM,6:00 PM,class,RMGX 2026,121,FALSE,
Trade Show Opens,,Expo Hall,,,07/17/2026,10:00 AM,4:00 PM,trade show / vendor hall,RMGX 2026,122,FALSE,
Everyday Asian Fusion + Optional Hands-On,,Freemont,Melissa Jepson,,07/18/2026,8:00 AM,11:00 AM,seminar,RMGX 2026,123,FALSE,
I Need to Call In Sick Today,,Carson,Michelle Price,,07/18/2026,8:00 AM,10:30 AM,class,RMGX 2026,124,FALSE,
Bathing & Brushing Bootcamp *Certificate,,Learning Center,Linda Easton,,07/18/2026,8:00 AM,12:00 PM,certification,RMGX 2026,125,FALSE,
Back to Basics,,Carson,Chris Anthony,,07/18/2026,11:00 AM,12:00 PM,class,RMGX 2026,126,FALSE,
The Corded Poodle + Optional Hands-On,,Freemont,Meagan Townsend,,07/18/2026,11:30 AM,2:00 PM,seminar,RMGX 2026,127,FALSE,
Airbrush Techniques & Color Theory + Optional Hands On,,Freemont,Christine Trovato,,07/18/2026,2:30 PM,5:00 PM,seminar,RMGX 2026,128,FALSE,
Case Studies: Secrets To Success,,Learning Center,Dr. Cliff Faver,,07/18/2026,2:30 PM,4:30 PM,class,RMGX 2026,129,FALSE,
Pet CPR Certification,,Carson,Malinda Malone,,07/18/2026,3:00 PM,9:00 PM,class,RMGX 2026,130,FALSE,
Mastering the Balance: Finding Clarity in Business Ownership,,Learning Center,Desnise Heroux,,07/18/2026,6:30 PM,8:30 PM,class,RMGX 2026,131,FALSE,
Scripts to Grow Your Business And Reduce Your Stress,,Freemont,Dr. Jim Warner & Linda Easton,,07/18/2026,7:00 PM,8:30 PM,class,RMGX 2026,132,FALSE,
Trade Show Opens,,Expo Hall,,,07/18/2026,10:00 AM,4:00 PM,trade show / vendor hall,RMGX 2026,133,FALSE,
Get A Grip; Hand Stripping Terriers + Optional Hands-On,,Freemont,Amy Lynn Remy,,07/19/2026,8:00 AM,10:30 AM,seminar,RMGX 2026,134,FALSE,
Dematting Demystified,,Carson,Linda Easton,,07/19/2026,8:00 AM,10:00 AM,class,RMGX 2026,135,FALSE,
Caring for the Challenging Dog,,Learning Center,Melissa Jepson,,07/19/2026,8:00 AM,11:00 AM,class,RMGX 2026,136,FALSE,
Training & Mentoring New Groomers,,Carson,Myke Ross & Linda Easton,,07/19/2026,10:30 AM,11:30 AM,class,RMGX 2026,137,FALSE,
UNKOWN,,,,,07/19/2026,1:00 PM,3:30 PM,class,RMGX 2026,138,FALSE,
If Not Now - When?,,Learning Center,Michelle Price,,07/19/2026,1:30 PM,3:30 PM,class,RMGX 2026,139,FALSE,
Grooming By the Numbers,,Carson,Melissa Jepson,,07/19/2026,1:30 PM,3:30 PM,class,RMGX 2026,140,FALSE,
Trade Show Opens,,Expo Hall,,,07/19/2026,10:00 AM,4:00 PM,trade show / vendor hall,RMGX 2026,141,FALSE,
Wire Hair (Hand strip),"""Friday *Ring A
Wire Hair (Hand strip)
• 7:00–8:00 AM – Check-In & Pre-Check
• 8:00 AM – Contest Begins (15 min Sally)
• 10:15 AM - Scissors Down
• 10:30 AM – Awards Presentation
• 10:30–11:30 AM – Ring Clean & Reset""",Competition Area,,Division A,07/17/2026,7:00,11:30,competition,RMGX 2026,142,FALSE,
Creative Salon,"""Friday *Ring B
Creative Salon
• 7:00–8:00 AM – Check-In & Pre-Check
• 8:00 AM – Contest Begins (15 min Sally)
• 10:15 AM - Scissors Down
• 10:40 AM – Awards Presentation
• 10:30-11:30 AM – Ring Clean & Reset""",Competition Area,,Division B,07/17/2026,7:00,11:30,competition,RMGX 2026,143,FALSE,
Sporting Spaniels,"• 12:30 PM – Check-In
• 1:30 PM – Contest Begins (15 min Sally)
• 3:45 PM - Scissors Down
• 4:00 PM – Awards Presentation
• Ring Clean & Reset",Competition Area,,Division A,07/17/2026,12:30,16:30,competition,RMGX 2026,144,FALSE,
Salon Freestyle,"• 12:30 PM – Check-In
• 1:30 PM – Contest Begins (15 min Sally)
• 3:45 PM - Scissors Down
• 4:00 PM – Awards Presentation
• Ring Clean & Reset",Competition Area,,Division B,07/17/2026,12:30,16:30,competition,RMGX 2026,145,FALSE,
Dynamic Duo,"• 8:00 AM – Check-In
• 9:00 AM – Contest Begins (15 min Sally)
• 11:15 AM - Scissors Down
• 11:30AM – Awards Presentation
• 11:45-1:00pm – Ring Clean & Reset",Competition Area,,,07/18/2026,8:00,13:00,competition,RMGX 2026,146,FALSE,
All Other Purebreds,"• 1:00pm – Check-In
• 2:00pm – Contest Begins (15 min Sally)
• 4:15 PM - Scissors Down
• 4:30 PM – Awards Presentation",Competition Area,,,07/18/2026,13:00,17:00,competition,RMGX 2026,147,FALSE,
Abstract Runway,"• 5:30 PM – Runway Presentations Begin
• 6:30 PM - Awards Abstract Runway",Freemont Room,,,07/18/2026,17:30,19:00,competition,RMGX 2026,148,FALSE,
Poodles,"• 8:00 AM – Check-In
• 9:00 AM – Contest Begins (15 min Sally)
• 11:15 AM - Scissors Down
• 11:45 AM – Awards Presentation",Competition Area,,,07/19/2026,8:00,12:00,competition,RMGX 2026,149,FALSE,
PreGroomed Creative,"• 12:30-1:00 – Presentation Set Up
• 2:30 PM Creative Presentations Begin
• 3:30 - Creative Awards",Competition Area,,,07/19/2026,12:30,16:00,competition,RMGX 2026,150,FALSE,
Best in Show,"• 1:15 Best In Show (Community Awards)
~ Model Dog Awards
~ Community Awards
• 2:00 PM – Best In Show Dogs Begins
• 2:15 PM Awards BEST IN SHOW",Competition Area,,,07/19/2026,13:15,14:30,competition,RMGX 2026,151,FALSE,